"year","mean_age","mean_mortality","sd"
1972,20,0.00049558318766284,10
1973,20.5208333333333,0.000508787363736214,10
1974,21.0416666666667,0.000522395471874458,10
1975,21.5625,0.000536420860620141,10
1976,22.0833333333333,0.000550880024627889,10
1977,22.6041666666667,0.000565792879191153,10
1978,23.125,0.000581183007830863,10
1979,23.6458333333333,0.000597077881934814,10
1980,24.1666666666667,0.000613509052106035,10
1981,24.6875,0.000630512311521924,10
1982,25.2083333333333,0.000648127832211052,10
1983,25.7291666666667,0.000666400275710255,10
1984,26.25,0.000685378880062266,10
1985,26.7708333333333,0.000705117525546805,10
1986,27.2916666666667,0.00072567478190166,10
1987,27.8125,0.000747113940082446,10
1988,28.3333333333333,0.000769503031830672,10
1989,28.8541666666667,0.00079291484047168,10
1990,29.375,0.000817426906450897,10
1991,29.8958333333333,0.000843121531144538,10
1992,30.4166666666667,0.000870085782456592,10
1993,30.9375,0.000898411505645786,10
1994,31.4583333333333,0.000928195342723409,10
1995,31.9791666666667,0.000959538763634866,10
1996,32.5,0.000992548112294171,10
1997,33.0208333333333,0.00102733467039084,10
1998,33.5416666666667,0.00106401474174145,10
1999,34.0625,0.00110270975982208,10
2000,34.5833333333333,0.0011435464209993,10
2001,35.1041666666667,0.00118665684588343,10
2002,35.625,0.00123217877116155,10
2003,36.1458333333333,0.001280255774234,10
2004,36.6666666666667,0.00133103753297692,10
2005,37.1875,0.00138468012298663,10
2006,37.7083333333333,0.00144134635472659,10
2007,38.2291666666667,0.00150120615309289,10
2008,38.75,0.00156443698203547,10
2009,39.2708333333333,0.00163122431701489,10
2010,39.7916666666667,0.00170176216823271,10
2011,40.3125,0.00177625365774096,10
2012,40.8333333333333,0.00185491165370637,10
2013,41.3541666666667,0.00193795946526938,10
2014,41.875,0.00202563160159122,10
2015,42.3958333333333,0.00211817459881428,10
2016,42.9166666666667,0.00221584791876692,10
2017,43.4375,0.00231892492331409,10
2018,43.9583333333333,0.00242769392828466,10
2019,44.4791666666667,0.00254245934088659,10
2020,45,0.00266354288444692,10
2021,45.5208333333333,0.00279128491417744,10
2022,46.0416666666667,0.00292604582746266,10
2023,46.5625,0.00306820757188851,10
2024,47.0833333333333,0.00321817525387034,10
2025,47.6041666666667,0.00337637885029045,10
2026,48.125,0.00354327502501127,10
2027,48.6458333333333,0.00371934905148135,10
2028,49.1666666666667,0.00390511684188756,10
2029,49.6875,0.00410112708241881,10
2030,50.2083333333333,0.00430796347318048,10
2031,50.7291666666667,0.00452624707012213,10
2032,51.25,0.00475663872499737,10
2033,51.7708333333333,0.00499984161784872,10
2034,52.2916666666667,0.00525660387478074,10
2035,52.8125,0.00552772126183409,10
2036,53.3333333333333,0.00581403994357755,10
2037,53.8541666666667,0.00611645929257322,10
2038,54.375,0.00643593473311806,10
2039,54.8958333333333,0.0067734805995997,10
2040,55.4166666666667,0.00713017298640305,10
