"year","mean_age","mean_mortality","sd"
1972,20,0.000499712178723427,5
1973,20.5208333333333,0.000516222116431492,5
1974,21.0416666666667,0.00053153431525532,5
1975,21.5625,0.00054561533580304,5
1976,22.0833333333333,0.000558472737070527,5
1977,22.6041666666667,0.000570153754762489,5
1978,23.125,0.000580742728219776,5
1979,23.6458333333333,0.00059035743746162,5
1980,24.1666666666667,0.000599144557735858,5
1981,24.6875,0.000607274467047152,5
1982,25.2083333333333,0.000614935652094747,5
1983,25.7291666666667,0.000622328951538716,5
1984,26.25,0.000629661855751786,5
1985,26.7708333333333,0.000637143053455437,5
1986,27.2916666666667,0.000644977382501058,5
1987,27.8125,0.000653361308850298,5
1988,28.3333333333333,0.000662479027954699,5
1989,28.8541666666667,0.000672499258354372,5
1990,29.375,0.000683572779043041,5
1991,29.8958333333333,0.000695830749184922,5
1992,30.4166666666667,0.000709383839166957,5
1993,30.9375,0.000724322193070845,5
1994,31.4583333333333,0.000740716231629917,5
1995,31.9791666666667,0.000758618289153933,5
1996,32.5,0.000778065056169952,5
1997,33.0208333333333,0.000799080771229156,5
1998,33.5416666666667,0.000821681071381316,5
1999,34.0625,0.000845877373402945,5
2000,34.5833333333333,0.000871681620197825,5
2001,35.1041666666667,0.000899111192738515,5
2002,35.625,0.000928193761540236,5
2003,36.1458333333333,0.00095897183670305,5
2004,36.6666666666667,0.000991506775008613,5
2005,37.1875,0.00102588201826003,5
2006,37.7083333333333,0.00106220536946517,5
2007,38.2291666666667,0.00110061016154657,5
2008,38.75,0.00114125523451888,5
2009,39.2708333333333,0.0011843237077311,5
2010,39.7916666666667,0.00123002060905864,5
2011,40.3125,0.00127856949747172,5
2012,40.8333333333333,0.00133020828364152,5
2013,41.3541666666667,0.00138518450988308,5
2014,41.875,0.00144375039118244,5
2015,42.3958333333333,0.0015061579398113,5
2016,42.9166666666667,0.00157265449498705,5
2017,43.4375,0.00164347895568929,5
2018,43.9583333333333,0.00171885897029673,5
2019,44.4791666666667,0.00179900927403048,5
2020,45,0.0018841312886529,5
2021,45.5208333333333,0.00197441401405825,5
2022,46.0416666666667,0.00207003615469326,5
2023,46.5625,0.00217116934187129,5
2024,47.0833333333333,0.00227798224248157,5
2025,47.6041666666667,0.0023906452910595,5
2026,48.125,0.00250933575011248,5
2027,48.6458333333333,0.00263424279571788,5
2028,49.1666666666667,0.00276557234246504,5
2029,49.6875,0.00290355136242619,5
2030,50.2083333333333,0.0030484315135887,5
2031,50.7291666666667,0.00320049196885609,5
2032,51.25,0.00336004142077027,5
2033,51.7708333333333,0.00352741932219135,5
2034,52.2916666666667,0.00370299650185734,5
2035,52.8125,0.00388717535917339,5
2036,53.3333333333333,0.00408038988911594,5
2037,53.8541666666667,0.00428310581190548,5
2038,54.375,0.00449582108135609,5
2039,54.8958333333333,0.00471906702109898,5
2040,55.4166666666667,0.00495341029198497,5
